Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Associated Gene Name	Transcript Start (bp)	Transcript End (bp)	Gene End (bp)
ENSGACG00000001339	ENSGACT00000001736	scaffold_115	68236	ZC3H12C (1 of 2)	68236	70666	70666
ENSGACG00000001340	ENSGACT00000001740	scaffold_115	129568	rnf17	129568	133114	133114
ENSGACG00000001341	ENSGACT00000001739	scaffold_320	2285	TRIM35 (4 of 28)	2285	3790	3790
ENSGACG00000001342	ENSGACT00000001742	scaffold_320	2755		2755	19009	19009
ENSGACG00000001343	ENSGACT00000001747	scaffold_115	136994	cenpj	136994	141558	141558
ENSGACG00000001343	ENSGACT00000001750	scaffold_115	136994	cenpj	137267	139192	141558
ENSGACG00000001344	ENSGACT00000001745	scaffold_320	9179	TRIM35 (5 of 28)	9179	19063	19063
ENSGACG00000001345	ENSGACT00000001746	scaffold_156	136703		136703	147284	147284
ENSGACG00000001346	ENSGACT00000001752	scaffold_27	3871140		3871140	3874020	3874020
ENSGACG00000001347	ENSGACT00000001749	scaffold_320	23019	TRIM35 (6 of 28)	23019	26275	26275
ENSGACG00000001348	ENSGACT00000001748	scaffold_591	4447		4447	5419	5564
ENSGACG00000001348	ENSGACT00000001751	scaffold_591	4447		4465	5564	5564
ENSGACG00000001349	ENSGACT00000001754	scaffold_156	148215	elovl6l	148215	150487	150487
ENSGACG00000001350	ENSGACT00000001753	scaffold_320	26489	si:dkey-174n20.1 (1 of 2)	26489	27925	27925
ENSGACG00000001351	ENSGACT00000001757	scaffold_115	145721	TTF2	145721	154376	154376
ENSGACG00000001352	ENSGACT00000001759	scaffold_27	3874499	stau1	3874499	3881098	3881098
ENSGACG00000001352	ENSGACT00000001762	scaffold_27	3874499	stau1	3874516	3881097	3881098
ENSGACG00000001353	ENSGACT00000001755	scaffold_156	152009	CST7	152009	153534	153534
ENSGACG00000001354	ENSGACT00000001774	scaffold_156	154094	apmap	154094	164537	164537
ENSGACG00000001355	ENSGACT00000001768	scaffold_239	10045	uckl1b	10045	22130	22130
ENSGACG00000001356	ENSGACT00000001758	scaffold_453	5187		5187	7265	7265
ENSGACG00000001357	ENSGACT00000001766	scaffold_225	14661		14661	17996	17996
ENSGACG00000001357	ENSGACT00000001767	scaffold_225	14661		15217	17996	17996
ENSGACG00000001358	ENSGACT00000001761	scaffold_1063	13		13	7196	7196
ENSGACG00000001359	ENSGACT00000001760	scaffold_453	11267		11267	12309	12309
ENSGACG00000001360	ENSGACT00000001763	scaffold_115	155301	mphosph8	155301	171918	171918
ENSGACG00000001361	ENSGACT00000001765	scaffold_27	3881343	pbrm1l	3881343	3888280	3888280
ENSGACG00000001361	ENSGACT00000001769	scaffold_27	3881343	pbrm1l	3881361	3883660	3888280
ENSGACG00000001362	ENSGACT00000001764	scaffold_746	4259	hira (3 of 5)	4259	5635	5635
ENSGACG00000001363	ENSGACT00000001771	scaffold_115	178968	zmym2	178968	188699	188699
ENSGACG00000001364	ENSGACT00000001770	scaffold_225	28077		28077	30104	30104
ENSGACG00000001365	ENSGACT00000001776	scaffold_27	3892833	CAMK1 (2 of 2)	3892833	3902243	3903036
ENSGACG00000001365	ENSGACT00000001778	scaffold_27	3892833	CAMK1 (2 of 2)	3893058	3903036	3903036
ENSGACG00000001365	ENSGACT00000001781	scaffold_27	3892833	CAMK1 (2 of 2)	3894210	3902195	3903036
ENSGACG00000001366	ENSGACT00000001772	scaffold_239	26091	ZNF512B	26091	35017	35017
ENSGACG00000001367	ENSGACT00000001773	scaffold_115	195521	gja3	195521	196933	196933
ENSGACG00000001368	ENSGACT00000001775	scaffold_115	201829	cx30.3	201829	202626	202626
ENSGACG00000001369	ENSGACT00000001780	scaffold_239	58518	si:zfos-1762d12.1 (1 of 3)	58518	61068	61068
ENSGACG00000001370	ENSGACT00000001786	scaffold_115	204714	cryl1	204714	215920	215920
ENSGACG00000001371	ENSGACT00000001777	scaffold_156	166118		166118	167493	167493
ENSGACG00000001372	ENSGACT00000001779	scaffold_156	168903		168903	169295	169295
ENSGACG00000001373	ENSGACT00000001788	scaffold_27	4038210	ca16b	4038210	4076444	4076444
ENSGACG00000001374	ENSGACT00000001782	scaffold_186	58573	NYAP2 (1 of 2)	58573	71524	71524
ENSGACG00000001375	ENSGACT00000001783	scaffold_186	81643		81643	82061	82061
ENSGACG00000001376	ENSGACT00000001804	scaffold_194	498	trdmt1 (1 of 2)	498	5682	5682
ENSGACG00000001377	ENSGACT00000001784	scaffold_186	83160	si:dkey-182i3.9	83160	85786	89468
ENSGACG00000001377	ENSGACT00000001787	scaffold_186	83160	si:dkey-182i3.9	85645	88984	89468
ENSGACG00000001377	ENSGACT00000001789	scaffold_186	83160	si:dkey-182i3.9	86020	89468	89468
ENSGACG00000001378	ENSGACT00000001785	scaffold_406	4892		4892	7420	7420
ENSGACG00000001379	ENSGACT00000001792	scaffold_111	4	mrps18b	4	3861	3861
ENSGACG00000001379	ENSGACT00000001796	scaffold_111	4	mrps18b	882	3472	3861
ENSGACG00000001380	ENSGACT00000001805	scaffold_115	216269	ift88	216269	228080	228080
ENSGACG00000001381	ENSGACT00000001790	scaffold_186	90270	rnf168	90270	97086	97086
ENSGACG00000001382	ENSGACT00000001800	scaffold_27	4081612	cadpsb	4081612	4132724	4132724
ENSGACG00000001382	ENSGACT00000001801	scaffold_27	4081612	cadpsb	4081612	4132510	4132724
ENSGACG00000001382	ENSGACT00000001802	scaffold_27	4081612	cadpsb	4081876	4105525	4132724
ENSGACG00000001383	ENSGACT00000001793	scaffold_186	100956	ppp1r14ab	100956	108515	108515
ENSGACG00000001385	ENSGACT00000001794	scaffold_1152	4417	TRIM35 (7 of 28)	4417	5809	5809
ENSGACG00000001386	ENSGACT00000001795	scaffold_358	21315		21315	22955	22955
ENSGACG00000001387	ENSGACT00000001797	scaffold_186	109966	spint2	109966	119530	119530
ENSGACG00000001388	ENSGACT00000001817	scaffold_111	3419	abcf1	3419	17259	17259
ENSGACG00000001388	ENSGACT00000001823	scaffold_111	3419	abcf1	3434	17259	17259
ENSGACG00000001389	ENSGACT00000001819	scaffold_186	121406	atg16l1	121406	132742	132743
ENSGACG00000001389	ENSGACT00000001824	scaffold_186	121406	atg16l1	121421	132743	132743
ENSGACG00000001389	ENSGACT00000001833	scaffold_186	121406	atg16l1	121433	132711	132743
ENSGACG00000001389	ENSGACT00000001835	scaffold_186	121406	atg16l1	121445	132741	132743
ENSGACG00000001390	ENSGACT00000001798	scaffold_414	2204		2204	3940	3940
ENSGACG00000001390	ENSGACT00000001799	scaffold_414	2204		2210	3838	3940
ENSGACG00000001391	ENSGACT00000001803	scaffold_442	10853		10853	11831	11831
ENSGACG00000001392	ENSGACT00000001810	scaffold_27	4139907	synpr	4139907	4142849	4142849
ENSGACG00000001393	ENSGACT00000001806	scaffold_194	14865		14865	15964	15982
ENSGACG00000001393	ENSGACT00000001811	scaffold_194	14865		15010	15982	15982
ENSGACG00000001394	ENSGACT00000001807	scaffold_571	7448		7448	8018	8018
ENSGACG00000001395	ENSGACT00000001808	scaffold_115	227736	il17d (1 of 2)	227736	229882	229882
ENSGACG00000001396	ENSGACT00000001809	scaffold_571	10534		10534	12180	12180
ENSGACG00000001397	ENSGACT00000001814	scaffold_115	238767	xpo4 (1 of 2)	238767	266229	266229
ENSGACG00000001397	ENSGACT00000001816	scaffold_115	238767	xpo4 (1 of 2)	238785	266202	266229
ENSGACG00000001398	ENSGACT00000001855	scaffold_27	4146139	RHO (1 of 2)	4146139	4148235	4148235
ENSGACG00000001399	ENSGACT00000001812	scaffold_194	47522		47522	48280	48280
ENSGACG00000001400	ENSGACT00000001813	scaffold_1273	1055		1055	2027	2027
ENSGACG00000001401	ENSGACT00000001815	scaffold_483	6137		6137	7319	7464
ENSGACG00000001401	ENSGACT00000001820	scaffold_483	6137		6155	7464	7464
ENSGACG00000001402	ENSGACT00000001822	scaffold_115	270348	lats2	270348	279871	279871
ENSGACG00000001403	ENSGACT00000001818	scaffold_219	346		346	534	534
ENSGACG00000001404	ENSGACT00000001821	scaffold_376	14225	CNNM3 (2 of 4)	14225	15578	15578
ENSGACG00000001405	ENSGACT00000001828	scaffold_219	2808	dlg1l	2808	37376	37376
ENSGACG00000001406	ENSGACT00000001825	scaffold_115	288919	ska3	288919	293266	293266
ENSGACG00000001407	ENSGACT00000001826	scaffold_943	1268		1268	3001	3001
ENSGACG00000001408	ENSGACT00000001853	scaffold_111	23986	stx12	23986	30619	30619
ENSGACG00000001409	ENSGACT00000001827	scaffold_115	294591		294591	299498	299498
ENSGACG00000001410	ENSGACT00000001829	scaffold_862	5787		5787	6890	6890
ENSGACG00000001411	ENSGACT00000001830	scaffold_115	302958	si:rp71-68n21.12	302958	305869	305869
ENSGACG00000001412	ENSGACT00000001831	scaffold_282	19719	TRIM14 (29 of 77)	19719	20252	20252
ENSGACG00000001413	ENSGACT00000001849	scaffold_219	69058	phb2	69058	74672	74682
ENSGACG00000001413	ENSGACT00000001854	scaffold_219	69058	phb2	69732	74681	74682
ENSGACG00000001413	ENSGACT00000001857	scaffold_219	69058	phb2	70078	74682	74682
ENSGACG00000001413	ENSGACT00000001862	scaffold_219	69058	phb2	70271	73854	74682
ENSGACG00000001414	ENSGACT00000001832	scaffold_282	27665		27665	28637	28637
ENSGACG00000001415	ENSGACT00000001836	scaffold_115	314169	cox17	314169	315878	315878
ENSGACG00000001416	ENSGACT00000001834	scaffold_537	5542		5542	6662	6662
ENSGACG00000001417	ENSGACT00000001839	groupXVI	11364	mmadhc	11364	19816	19816
ENSGACG00000001418	ENSGACT00000001837	scaffold_1052	2597		2597	3698	3698
ENSGACG00000001418	ENSGACT00000001838	scaffold_1052	2597		2726	3680	3698
ENSGACG00000001419	ENSGACT00000001840	scaffold_186	134753	sagb	134753	138182	138182
ENSGACG00000001420	ENSGACT00000001841	scaffold_115	318333	popdc2	318333	323154	323154
ENSGACG00000001421	ENSGACT00000001842	scaffold_1251	3157	eef1db (1 of 2)	3157	5399	5399
ENSGACG00000001422	ENSGACT00000001843	groupXVI	25886	NMI	25886	40821	40821
ENSGACG00000001423	ENSGACT00000001844	scaffold_115	324581	pla1a	324581	330594	330594
ENSGACG00000001424	ENSGACT00000001845	groupXVI	45771	crfb4	45771	57172	57172
ENSGACG00000001425	ENSGACT00000001847	scaffold_115	332562	hsd3b2	332562	335480	335480
ENSGACG00000001425	ENSGACT00000001850	scaffold_115	332562	hsd3b2	332562	335280	335480
ENSGACG00000001427	ENSGACT00000001851	groupXVI	83746	crfb5	83746	92475	92475
ENSGACG00000001428	ENSGACT00000001848	scaffold_382	1906	TRIM35 (8 of 28)	1906	3281	3281
ENSGACG00000001429	ENSGACT00000001864	scaffold_115	336850	si:rp71-68n21.9	336850	343043	343148
ENSGACG00000001429	ENSGACT00000001870	scaffold_115	336850	si:rp71-68n21.9	337075	343148	343148
ENSGACG00000001430	ENSGACT00000001852	groupXVI	88089		88089	88568	88568
ENSGACG00000001431	ENSGACT00000001856	groupXVI	97359	crfb6	97359	105500	105500
ENSGACG00000001432	ENSGACT00000001860	scaffold_908	2133		2133	5789	5789
ENSGACG00000001434	ENSGACT00000001859	scaffold_27	4159256		4159256	4160714	4160714
ENSGACG00000001435	ENSGACT00000001861	scaffold_269	1	asap2b	1	2437	2437
ENSGACG00000001436	ENSGACT00000001858	groupXVI	117795		117795	121078	121078
ENSGACG00000001437	ENSGACT00000001890	scaffold_27	4175338	slc6a13	4175338	4186001	4186751
ENSGACG00000001437	ENSGACT00000001897	scaffold_27	4175338	slc6a13	4175371	4186037	4186751
ENSGACG00000001437	ENSGACT00000001899	scaffold_27	4175338	slc6a13	4175441	4186751	4186751
ENSGACG00000001438	ENSGACT00000001867	groupXVI	125393	rrp1	125393	139423	139423
ENSGACG00000001438	ENSGACT00000001872	groupXVI	125393	rrp1	125393	139417	139423
ENSGACG00000001439	ENSGACT00000001863	scaffold_269	2463		2463	4249	4249
ENSGACG00000001440	ENSGACT00000001895	scaffold_269	5488	cpsf3 (1 of 2)	5488	10920	10920
ENSGACG00000001441	ENSGACT00000001866	scaffold_463	4691		4691	5215	5215
ENSGACG00000001443	ENSGACT00000001874	scaffold_111	127369	trnau1apa	127369	132876	132876
ENSGACG00000001443	ENSGACT00000001879	scaffold_111	127369	trnau1apa	127381	132867	132876
ENSGACG00000001444	ENSGACT00000001871	scaffold_173	85479		85479	86638	86638
ENSGACG00000001445	ENSGACT00000001873	scaffold_620	9583	eprs (1 of 2)	9583	12682	12682
ENSGACG00000001446	ENSGACT00000001877	groupXVI	143990	slc37a1	143990	172020	172020
ENSGACG00000001447	ENSGACT00000001875	scaffold_613	7228	si:dkey-22a18.2	7228	8160	8160
ENSGACG00000001448	ENSGACT00000001876	scaffold_613	9061		9061	10033	10123
ENSGACG00000001448	ENSGACT00000001880	scaffold_613	9061		9079	10123	10123
ENSGACG00000001449	ENSGACT00000001878	scaffold_294	14698		14698	15670	15670
ENSGACG00000001450	ENSGACT00000001883	groupXVI	177572	PDE9A	177572	219433	219433
ENSGACG00000001451	ENSGACT00000001881	scaffold_294	31129	TRIM14 (30 of 77)	31129	31677	31677
ENSGACG00000001452	ENSGACT00000001889	scaffold_111	137759	si:ch211-222e23.8	137759	147862	147862
ENSGACG00000001453	ENSGACT00000001882	scaffold_294	52844		52844	53399	53399
ENSGACG00000001454	ENSGACT00000001884	groupXVI	221767	wdr4	221767	235062	235062
ENSGACG00000001455	ENSGACT00000001885	groupXVI	235179	ATP5J (1 of 2)	235179	241138	241138
ENSGACG00000001456	ENSGACT00000001886	groupXVI	256280	pknox1.1	256280	265122	265122
ENSGACG00000001457	ENSGACT00000001888	groupXVI	266049	tmprss3a	266049	279597	279993
ENSGACG00000001457	ENSGACT00000001893	groupXVI	266049	tmprss3a	267479	279993	279993
ENSGACG00000001458	ENSGACT00000001887	scaffold_273	15193	zgc:56585 (1 of 3)	15193	18488	18488
ENSGACG00000001459	ENSGACT00000001892	scaffold_273	18896	zgc:56585 (2 of 3)	18896	22037	22052
ENSGACG00000001459	ENSGACT00000001898	scaffold_273	18896	zgc:56585 (2 of 3)	18935	22052	22052
ENSGACG00000001459	ENSGACT00000001900	scaffold_273	18896	zgc:56585 (2 of 3)	18986	22052	22052
ENSGACG00000001459	ENSGACT00000001901	scaffold_273	18896	zgc:56585 (2 of 3)	19174	22052	22052
ENSGACG00000001460	ENSGACT00000001891	scaffold_111	151645		151645	153393	153393
ENSGACG00000001461	ENSGACT00000001896	scaffold_111	159450	ppp1r11	159450	162542	162542
ENSGACG00000001462	ENSGACT00000001894	groupXVI	288127	fgf9	288127	289921	289921
ENSGACG00000001463	ENSGACT00000001920	groupXVI	293128	ccdc93	293128	308908	308908
ENSGACG00000001463	ENSGACT00000001924	groupXVI	293128	ccdc93	293128	308540	308908
ENSGACG00000001463	ENSGACT00000001931	groupXVI	293128	ccdc93	293133	308873	308908
ENSGACG00000001464	ENSGACT00000001903	scaffold_111	164824	vars2	164824	181128	181128
ENSGACG00000001465	ENSGACT00000001902	scaffold_269	11149	adam17b	11149	17698	17698
ENSGACG00000001465	ENSGACT00000001905	scaffold_269	11149	adam17b	11579	17698	17698
ENSGACG00000001466	ENSGACT00000001908	scaffold_27	4190408	fkbp5	4190408	4197823	4197823
ENSGACG00000001467	ENSGACT00000001907	scaffold_273	23860	SEC24A	23860	30175	30175
ENSGACG00000001468	ENSGACT00000001904	scaffold_111	190733	mgat1b	190733	194077	194077
ENSGACG00000001469	ENSGACT00000001906	scaffold_111	199525	znrd1	199525	200337	200337
ENSGACG00000001470	ENSGACT00000001915	scaffold_269	18692	taf1b	18692	23580	23621
ENSGACG00000001470	ENSGACT00000001926	scaffold_269	18692	taf1b	18808	23621	23621
ENSGACG00000001470	ENSGACT00000001930	scaffold_269	18692	taf1b	18809	23594	23621
ENSGACG00000001471	ENSGACT00000001917	scaffold_111	201485	gtf2h4	201485	209859	209859
ENSGACG00000001472	ENSGACT00000001909	scaffold_273	31558		31558	33664	33664
ENSGACG00000001473	ENSGACT00000001910	scaffold_27	4198375	srsf3a (2 of 2)	4198375	4208756	4211126
ENSGACG00000001473	ENSGACT00000001911	scaffold_27	4198375	srsf3a (2 of 2)	4206110	4211126	4211126
ENSGACG00000001473	ENSGACT00000001912	scaffold_27	4198375	srsf3a (2 of 2)	4206110	4208848	4211126
ENSGACG00000001474	ENSGACT00000001919	scaffold_273	36536	sar1b	36536	39531	39531
ENSGACG00000001475	ENSGACT00000001913	scaffold_27	4217691	rab44	4217691	4222143	4222143
ENSGACG00000001476	ENSGACT00000001914	scaffold_27	4223803	trub2	4223803	4226667	4226667
ENSGACG00000001477	ENSGACT00000001916	scaffold_27	4228012	hdhd3	4228012	4228927	4228927
ENSGACG00000001478	ENSGACT00000001918	scaffold_27	4239651		4239651	4244796	4244796
ENSGACG00000001479	ENSGACT00000001921	scaffold_111	237792	sh3bp5lb	237792	282688	282688
ENSGACG00000001480	ENSGACT00000001925	scaffold_27	4247085	slc2a11l	4247085	4250787	4250787
ENSGACG00000001481	ENSGACT00000001923	scaffold_120	336		336	5732	6667
ENSGACG00000001481	ENSGACT00000001927	scaffold_120	336		4977	6667	6667
ENSGACG00000001482	ENSGACT00000001922	scaffold_111	321301	si:ch211-133l5.8	321301	322791	322791
ENSGACG00000001483	ENSGACT00000001928	scaffold_27	4254192	PATZ1	4254192	4260835	4260835
ENSGACG00000001484	ENSGACT00000001941	scaffold_120	8832	puf60a (1 of 2)	8832	16716	16716
ENSGACG00000001484	ENSGACT00000001942	scaffold_120	8832	puf60a (1 of 2)	9081	16034	16716
ENSGACG00000001485	ENSGACT00000001929	scaffold_27	4261225		4261225	4261597	4261597
ENSGACG00000001486	ENSGACT00000001932	scaffold_27	4263000	eif4enif1	4263000	4272393	4272393
ENSGACG00000001487	ENSGACT00000001934	scaffold_269	24794	klf11a	24794	28341	28443
ENSGACG00000001487	ENSGACT00000001936	scaffold_269	24794	klf11a	26331	28443	28443
ENSGACG00000001488	ENSGACT00000001933	groupXVI	310276	UTP14A	310276	312498	312498
ENSGACG00000001490	ENSGACT00000001935	scaffold_27	4277151	sfi1	4277151	4279348	4279348
ENSGACG00000001491	ENSGACT00000001946	groupXVI	318158	insig2	318158	324426	324426
ENSGACG00000001491	ENSGACT00000001951	groupXVI	318158	insig2	318165	324146	324426
ENSGACG00000001491	ENSGACT00000001954	groupXVI	318158	insig2	318178	323784	324426
ENSGACG00000001491	ENSGACT00000001959	groupXVI	318158	insig2	319748	323295	324426
ENSGACG00000001491	ENSGACT00000001962	groupXVI	318158	insig2	319776	324014	324426
ENSGACG00000001492	ENSGACT00000001938	scaffold_423	3505		3505	4474	4846
ENSGACG00000001492	ENSGACT00000001940	scaffold_423	3505		3729	4846	4846
ENSGACG00000001493	ENSGACT00000001939	scaffold_27	4279624		4279624	4281366	4281366
ENSGACG00000001494	ENSGACT00000001953	scaffold_269	31443	RRM2 (1 of 2)	31443	33975	33975
ENSGACG00000001495	ENSGACT00000001943	scaffold_27	4281791	zgc:172271	4281791	4287880	4287880
ENSGACG00000001495	ENSGACT00000001944	scaffold_27	4281791	zgc:172271	4282215	4287572	4287880
ENSGACG00000001495	ENSGACT00000001945	scaffold_27	4281791	zgc:172271	4284412	4287572	4287880
ENSGACG00000001497	ENSGACT00000001948	scaffold_27	4288833	SIRT4	4288833	4290727	4290727
ENSGACG00000001498	ENSGACT00000001949	scaffold_27	4291544	C1orf74	4291544	4293733	4293733
ENSGACG00000001498	ENSGACT00000001950	scaffold_27	4291544	C1orf74	4291618	4292487	4293733
ENSGACG00000001499	ENSGACT00000001955	scaffold_120	24848	fastk	24848	29750	29750
ENSGACG00000001500	ENSGACT00000001952	scaffold_27	4296044	tspo	4296044	4297056	4297056
ENSGACG00000001501	ENSGACT00000001956	scaffold_27	4301585	FRS3	4301585	4306711	4306711
ENSGACG00000001502	ENSGACT00000001958	scaffold_269	34892	LGALS8 (1 of 2)	34892	39346	39533
ENSGACG00000001502	ENSGACT00000001960	scaffold_269	34892	LGALS8 (1 of 2)	37942	39533	39533
ENSGACG00000001503	ENSGACT00000001957	scaffold_27	4342106	ppil1	4342106	4343987	4343987
ENSGACG00000001504	ENSGACT00000001970	scaffold_120	29860	ubtfl	29860	39232	39232
ENSGACG00000001505	ENSGACT00000001964	scaffold_27	4344464	eno1b	4344464	4350102	4350102
ENSGACG00000001506	ENSGACT00000001961	scaffold_872	6129		6129	7380	7380
ENSGACG00000001507	ENSGACT00000001984	scaffold_269	39949	RRM2 (2 of 2)	39949	42589	42589
ENSGACG00000001508	ENSGACT00000001963	groupXVI	387988		387988	390399	390399
ENSGACG00000001509	ENSGACT00000001965	groupXVI	403151	marco	403151	408474	408474
ENSGACG00000001510	ENSGACT00000001966	scaffold_27	4351937	rereb	4351937	4358643	4358643
ENSGACG00000001511	ENSGACT00000001976	scaffold_938	1541	mysm1	1541	6500	6500
ENSGACG00000001511	ENSGACT00000001982	scaffold_938	1541	mysm1	1573	6497	6500
ENSGACG00000001512	ENSGACT00000001967	groupXVI	412298	dbi	412298	416970	416970
ENSGACG00000001512	ENSGACT00000001971	groupXVI	412298	dbi	413067	416970	416970
ENSGACG00000001512	ENSGACT00000001973	groupXVI	412298	dbi	413332	416545	416970
ENSGACG00000001513	ENSGACT00000001968	scaffold_27	4368350	C1orf159	4368350	4371888	4371888
ENSGACG00000001514	ENSGACT00000001969	scaffold_27	4375347	kbtbd12	4375347	4379224	4379224
ENSGACG00000001514	ENSGACT00000001972	scaffold_27	4375347	kbtbd12	4376824	4379224	4379224
ENSGACG00000001515	ENSGACT00000001974	scaffold_120	41347	tmub1	41347	42262	42262
ENSGACG00000001516	ENSGACT00000001978	scaffold_27	4380622	slc26a6l	4380622	4387464	4387464
ENSGACG00000001517	ENSGACT00000001975	groupXVI	419610	C2orf76	419610	424761	424761
ENSGACG00000001518	ENSGACT00000001977	scaffold_120	42991		42991	44582	44582
ENSGACG00000001519	ENSGACT00000001985	groupXVI	427012	itgb2	427012	442049	442506
ENSGACG00000001519	ENSGACT00000001988	groupXVI	427012	itgb2	427014	442506	442506
ENSGACG00000001519	ENSGACT00000001990	groupXVI	427012	itgb2	427024	442505	442506
ENSGACG00000001519	ENSGACT00000001994	groupXVI	427012	itgb2	427417	440861	442506
ENSGACG00000001520	ENSGACT00000001979	scaffold_27	4388268	P4HTM	4388268	4390202	4392666
ENSGACG00000001520	ENSGACT00000001980	scaffold_27	4388268	P4HTM	4390038	4392666	4392666
ENSGACG00000001521	ENSGACT00000001981	scaffold_120	48483	dnah9	48483	51258	51258
ENSGACG00000001522	ENSGACT00000001991	scaffold_27	4394392		4394392	4405173	4405173
ENSGACG00000001522	ENSGACT00000001992	scaffold_27	4394392		4402109	4402934	4405173
ENSGACG00000001523	ENSGACT00000001983	scaffold_120	55410		55410	57489	57489
ENSGACG00000001524	ENSGACT00000001986	scaffold_120	59291	ttc19	59291	61858	61858
ENSGACG00000001525	ENSGACT00000001987	scaffold_120	71310	slc4a2a (1 of 2)	71310	75550	75550
ENSGACG00000001526	ENSGACT00000001989	scaffold_120	75850	slc4a2a (2 of 2)	75850	77950	77950
ENSGACG00000001527	ENSGACT00000001993	scaffold_120	79731	dnajc5b	79731	81506	81506
ENSGACG00000001528	ENSGACT00000001998	scaffold_27	4411504		4411504	4430437	4430437
ENSGACG00000001528	ENSGACT00000002005	scaffold_27	4411504		4420014	4430428	4430437
ENSGACG00000001528	ENSGACT00000002007	scaffold_27	4411504		4422108	4424832	4430437
ENSGACG00000001528	ENSGACT00000002009	scaffold_27	4411504		4423891	4424832	4430437
ENSGACG00000001528	ENSGACT00000002010	scaffold_27	4411504		4425157	4426402	4430437
ENSGACG00000001528	ENSGACT00000002012	scaffold_27	4411504		4427000	4430354	4430437
ENSGACG00000001529	ENSGACT00000002000	scaffold_120	82315	trim55a	82315	90155	90155
ENSGACG00000001530	ENSGACT00000001995	groupXVI	448368	UBXN4	448368	456028	456028
ENSGACG00000001531	ENSGACT00000001996	groupXVI	456999		456999	460251	462522
ENSGACG00000001531	ENSGACT00000001997	groupXVI	456999		457678	462522	462522
ENSGACG00000001532	ENSGACT00000001999	groupXVI	464741	crfb2	464741	476135	476135
ENSGACG00000001533	ENSGACT00000002001	groupXVI	479033		479033	480249	480249
ENSGACG00000001534	ENSGACT00000002029	scaffold_120	95125	adhfe1	95125	103639	103663
ENSGACG00000001534	ENSGACT00000002055	scaffold_120	95125	adhfe1	95137	103663	103663
ENSGACG00000001535	ENSGACT00000002002	groupXVI	495659	C21orf62	495659	497657	497657
ENSGACG00000001536	ENSGACT00000002003	groupXVI	504580	crfb1	504580	510768	510768
ENSGACG00000001537	ENSGACT00000002004	groupXVI	513062		513062	514874	514874
ENSGACG00000001539	ENSGACT00000002011	groupXVI	626553	efnb2a	626553	645229	645229
ENSGACG00000001539	ENSGACT00000002013	groupXVI	626553	efnb2a	626562	645229	645229
ENSGACG00000001540	ENSGACT00000002016	scaffold_27	4437983	si:ch211-11p18.4	4437983	4453345	4453345
ENSGACG00000001542	ENSGACT00000002015	groupXVI	1390445	GTPBP8	1390445	1396920	1396920
ENSGACG00000001542	ENSGACT00000002017	groupXVI	1390445	GTPBP8	1391041	1396920	1396920
ENSGACG00000001543	ENSGACT00000002018	groupXVI	1397966		1397966	1398791	1398791
ENSGACG00000001544	ENSGACT00000002028	scaffold_27	4463775	acy1	4463775	4470507	4470507
ENSGACG00000001544	ENSGACT00000002031	scaffold_27	4463775	acy1	4464218	4470362	4470507
ENSGACG00000001545	ENSGACT00000002019	groupXVI	1402328	slc10a2	1402328	1405973	1405973
ENSGACG00000001546	ENSGACT00000002020	groupXVI	1435482	inhbb	1435482	1436195	1436195
ENSGACG00000001547	ENSGACT00000002021	groupXVI	1560088	gli2a	1560088	1588007	1588007
ENSGACG00000001547	ENSGACT00000002022	groupXVI	1560088	gli2a	1579692	1588007	1588007
ENSGACG00000001548	ENSGACT00000002023	groupXVI	1606063		1606063	1610800	1610800
ENSGACG00000001549	ENSGACT00000002024	groupXVI	1617312	tfcp2l1	1617312	1626172	1626172
ENSGACG00000001549	ENSGACT00000002025	groupXVI	1617312	tfcp2l1	1617312	1625631	1626172
ENSGACG00000001550	ENSGACT00000002026	groupXVI	1629127	clasp1a	1629127	1672664	1672664
ENSGACG00000001550	ENSGACT00000002027	groupXVI	1629127	clasp1a	1646982	1650801	1672664
ENSGACG00000001551	ENSGACT00000002030	groupXVI	1674813	mki67ip	1674813	1678230	1678234
ENSGACG00000001551	ENSGACT00000002033	groupXVI	1674813	mki67ip	1675120	1678234	1678234
ENSGACG00000001551	ENSGACT00000002036	groupXVI	1674813	mki67ip	1675262	1678198	1678234
ENSGACG00000001551	ENSGACT00000002038	groupXVI	1674813	mki67ip	1675518	1678217	1678234
ENSGACG00000001552	ENSGACT00000002032	scaffold_27	4471355	abhd14a	4471355	4474369	4474369
ENSGACG00000001553	ENSGACT00000002034	scaffold_27	4476713	HYAL2 (2 of 2)	4476713	4479755	4479755
ENSGACG00000001554	ENSGACT00000002035	scaffold_27	4482574	tusc2b	4482574	4485006	4485006
ENSGACG00000001555	ENSGACT00000002037	scaffold_27	4485262	rassf1	4485262	4486971	4490422
ENSGACG00000001555	ENSGACT00000002040	scaffold_27	4485262	rassf1	4485274	4490422	4490422
ENSGACG00000001556	ENSGACT00000002039	groupXVI	1679006	si:dkey-219c10.4	1679006	1682373	1685126
ENSGACG00000001556	ENSGACT00000002042	groupXVI	1679006	si:dkey-219c10.4	1682209	1685126	1685126
ENSGACG00000001557	ENSGACT00000002041	scaffold_27	4492746	cyb561d2	4492746	4494006	4494006
ENSGACG00000001558	ENSGACT00000002043	scaffold_27	4496795	rad54l2	4496795	4505058	4505058
